PAG-RjwJM6dEZhR8sdVV8pVf8,PE6PCMAOE89H,マスタ 運送会社クラス,削除,page-admin carrier_class
PAG-T3e80cbgnO51YTc7g9GFV,AD-ST-000,マスタ ステータス,一覧,page-admin status
PAG-THd3j85obwCXQb2RoYw7q,AD-CN-000,マスタ 荷物名,一覧,page-admin cargo_name
PAG-G98d9dHUO3LrULLFfC82m,AD-CN-020,マスタ 荷物名,新規入力,page-admin
PAG-XY9oDUaBhJe3bv278jC68,BV0KSBHPVD93,マスタ 荷物名,挿入,page-admin
PAG-Le2AObRs2Fe9WzMOBVM2E,AD-CN-050,マスタ 荷物名,編集,page-admin
PAG-UYM56B6D0se0KimjeOwl1,IXC59SQOW9KT,マスタ 荷物名,更新,page-admin
PAG-RYLkXSgI8vbpPKSMbPzBi,TV96OG0HMQ99,マスタ 荷物名,削除,page-admin
PAG-OWcuN2wg30xRFiTu29To6,AD-CF-000,マスタ 荷姿,一覧,page-admin cargo_form
PAG-XSed7xNmzgNzGsyBU67LE,AD-CF-020,マスタ 荷姿,新規入力,page-admin
PAG-Axlz8jNZZ2dEywyeJVOzy,K837NY7L9PEN,マスタ 荷姿,挿入,page-admin
PAG-QJkHJZXP6NDHM1QTCaJM0,AD-CF-050,マスタ 荷姿,編集,page-admin
PAG-JT13fJB8oCfnscH1tHgxt,DHFPVAXJ0C04,マスタ 荷姿,更新,page-admin
PAG-ZbaKaMHSZsZPJVELgjg88,LS75O10F1EJD,マスタ 荷姿,削除,page-admin
PAG-TIOEh0TDm2B4ZrtcNVfz6,AD-EI-000,マスタ 評価項目,一覧,page-admin evaluation_item
PAG-WKLkQgm8yxWwmealSpaKt,AD-EI-020,マスタ 評価項目,新規入力,page-admin
PAG-J35NbkLUknfCIVxNwT9hr,ACWLM60XFJPV,マスタ 評価項目,挿入,page-admin
PAG-K0RMxPYNZSnnsugt6sndB,AD-EI-050,マスタ 評価項目,編集,page-admin
PAG-KP6Funm5PFjErS8V9rrft,N1Z2AKEDBUTM,マスタ 評価項目,更新,page-admin
PAG-JMGTrGxjSKMGPbAPJx9r6,T34TYQBOL61D,マスタ 評価項目,削除,page-admin
PAG-GlaRJs5IEb1lFwdhw7OGf,AD-PF-000,マスタ 都道府県,一覧,page-admin pref
PAG-Lu7fuI7rcsNCN4yiq6hMK,AD-RO-000,マスタ 希望車種,一覧,page-admin order_request_option
PAG-SGGB1KQYxkBHRfR89IiCY,AD-RO-020,マスタ 希望車種,新規入力,page-admin order_request_option
PAG-QIGUlAvPtY5B5Z4oeIfC7,PKO2BXMK0RHZ,マスタ 希望車種,挿入,page-admin order_request_option
PAG-NPejy60MnqNm2iBCP37u6,AD-RO-050,マスタ 希望車種,編集,page-admin order_request_option
PAG-ODe4Nx8SsSCdREmv44WbY,ZJZC1V0RNOUV,マスタ 希望車種,更新,page-admin order_request_option
PAG-FaYVPppFoYq4wzv0uXIfX,T6X4CB1F70IO,マスタ 希望車種,削除,page-admin order_request_option
PAG-YEdnXR4gMp9XoxAvIcBeU,AD-RO-001,マスタ 希望設備,一覧,page-admin order_request_option
PAG-KnZcgUmJNklQ7K8AkDvat,AD-RO-021,マスタ 希望設備,新規入力,page-admin order_request_option
PAG-CeFJl1I4uIGUKzcHnRvil,GJPSRXVN3QAI,マスタ 希望設備,挿入,page-admin order_request_option
PAG-Q0xqLIUQi0RMHNCitQJTU,AD-RO-051,マスタ 希望設備,編集,page-admin order_request_option
PAG-Vc6jJ1HjFunXHiyfpaLPa,VNHIHXAZL2MG,マスタ 希望設備,更新,page-admin order_request_option
PAG-VFFt1MfMA0Cr6UNkvQfAX,GTYLWLFPZCJE,マスタ 希望設備,削除,page-admin order_request_option
PAG-Z0JrvDEQq2qBBgFKWESeJ,AD-RO-002,マスタ 希望装備,一覧,page-admin order_request_option
PAG-VMvrVFGrLLBGRan99knUv,AD-RO-022,マスタ 希望装備,新規入力,page-admin order_request_option
PAG-Tjhk3jylse7KJrpTe8lvj,D2RHKR6U7XQZ,マスタ 希望装備,挿入,page-admin order_request_option
PAG-AgxDuWROsGjasyN3rrDQl,AD-RO-052,マスタ 希望装備,編集,page-admin order_request_option
PAG-RkEe2EO9N8BNyS98KdU45,R13NINR9RGGQ,マスタ 希望装備,更新,page-admin order_request_option
PAG-G2xTtDSuFmEyZq8apvDjF,THW9KSA8PW1H,マスタ 希望装備,削除,page-admin order_request_option
PAG-U7BPw5xtrmHACy2VZbC88,AJ-AX-001,非同期通信 ファイルをアップ,単,page-ajax upload_file
PAG-GAXSmfTVKtaC59sxYuNSE,AJ-AX-002,非同期通信 ファイルをアップ,複,page-ajax upload_some_file
PAG-SBROTwc8uQ1MvK8nzaYsq,AJ-AX-003,非同期通信 アカウント情報を代入,,page-ajax quote_user_account
PAG-ZePZJav2MTI6o6GmAsw8y,AJ-AX-004,非同期通信 住所情報を代入,,page-ajax quote_address
PAG-MgWpWvpkbALt8VWWzUo8K,AJ-AX-005,非同期通信 見積項目枠を追加,,page-ajax add_estimate_item
PAG-UvprPFZDgKrddkokjy53u,AJ-AX-006,非同期通信 見積項目情報を代入,,page-ajax quote_item
PAG-F6OFVi4UejWz5kEbRWuD2,AJ-AX-007,非同期通信 案件情報を代入,,page-ajax quote_order
PAG-Zl9wHMMQNwEVm5Ut8nvmb,AJ-AX-008,非同期通信 コンタクトボード,10件取得,page-ajax get_over10
PAG-Zn3i8X4APpppSV8vC7TqM,AJ-AX-009,非同期通信 コンタクトボード,送信,page-ajax put_message
PAG-RnI1WgpY1JHfsCjKrTvbn,AJ-AX-010,非同期通信 コンタクトボード,ファイル送信,page-ajax upload_file_and_put_board_file
PAG-XoOivoklB4hkhmsEEYYLm,AJ-AX-011,非同期通信 コンタクトボード,メッセージ更新,page-ajax refresh_messages
PAG-K3whZSqVUJvEOO69eYjAb,AJ-AX-012,非同期通信 コンタクトボード,未読数取得,page-ajax get_unread_count
PAG-QDwU5reem4SjGiYIjc4iW,AJ-AX-013,非同期通信 車両枠を追加,,page-ajax add_edit_car
PAG-Wj8vagfcsF3Nd9qgp1kWj,AJ-AX-014,非同期通信 空車枠を追加,,page-ajax add_edit_empty
